company;url
barclays;https://home.barclays/content/dam/home-barclays/documents/citizenship/ESG/Barclays-PLC-ESG-Report-2019.pdf
jp morgan chase;https://impact.jpmorganchase.com/content/dam/jpmc/jpmorgan-chase-and-co/documents/jpmc-cr-esg-report-2019.pdf
morgan stanley;https://www.morganstanley.com/pub/content/dam/msdotcom/sustainability/Morgan-Stanley_2019-Sustainability-Report_Final.pdf
goldman sachs;https://www.goldmansachs.com/what-we-do/sustainable-finance/documents/reports/2019-sustainability-report.pdf
hsbc;https://www.hsbc.com/-/files/hsbc/our-approach/measuring-our-impact/pdfs/190408-esg-update-april-2019-eng.pdf
citi;https://www.citigroup.com/citi/about/esg/download/2019/Global-ESG-Report-2019.pdf
td bank;https://www.td.com/document/PDF/corporateresponsibility/2018-ESG-Report.pdf
bank of america;https://about.bankofamerica.com/assets/pdf/Bank-of-America-2017-ESG-Performance-Data-Summary.pdf
rbc;https://www.rbc.com/community-social-impact/_assets-custom/pdf/2019-ESG-Report.PDF
macquarie;https://www.macquarie.com/assets/macq/investor/reports/2020/sections/Macquarie-Group-FY20-ESG.pdf
lloyds;https://www.lloydsbankinggroup.com/globalassets/documents/investors/2020/2020feb20_lbg_esg_approach.pdf
santander;https://www.santander.co.uk/assets/s3fs-public/documents/2019_santander_esg_supplement.pdf
bluebay;https://www.bluebay.com/globalassets/documents/bluebay-annual-esg-investment-report-2018.pdf
lasalle;https://www.lasalle.com/documents/ESG_Policy_2019.pdf
riverstone;https://www.riverstonellc.com/media/1196/riverstone_esg_report.pdf
aberdeen standard;https://www.standardlifeinvestments.com/RI_Report.pdf
apollo;https://www.apollo.com/~/media/Files/A/Apollo-V2/documents/apollo-2018-esg-summary-annual-report.pdf
bmogan;https://www.bmogam.com/gb-en/intermediary/wp-content/uploads/2019/02/cm16148-esg-profile-and-impact-report-2018_v33_digital.pdf
vanguard;https://personal.vanguard.com/pdf/ISGESG.pdf
ruffer;https://www.ruffer.co.uk/-/media/Ruffer-Website/Files/Downloads/ESG/2018_Ruffer_report_on_ESG.pdf
northern trust;https://cdn.northerntrust.com/pws/nt/documents/fact-sheets/mutual-funds/institutional/annual-stewardship-report.pdf
hermes investments;https://www.hermes-investment.com/ukw/wp-content/uploads/sites/80/2017/09/Hermes-Global-Equities-ESG-Dashboard-Overview_NB.pdf
abri capital;http://www.abris-capital.com/sites/default/files/Abris%20ESG%20Report%202018.pdf
schroders;https://www.schroders.com/en/sysglobalassets/digital/insights/2019/pdfs/sustainability/sustainable-investment-report/sustainable-investment-report-q2-2019.pdf
lazard;https://www.lazardassetmanagement.com/docs/-m0-/54142/LazardESGIntegrationReport_en.pdf
credit suisse;https://www.credit-suisse.com/pwp/am/downloads/marketing/br_esg_capabilities_uk_csam_en.pdf
coller capital;https://www.collercapital.com/sites/default/files/Coller%20Capital%20ESG%20Report%202019-Digital%20copy.pdf
cinven;https://www.cinven.com/media/2086/81-cinven-esg-policy.pdf
warburg pircus;https://www.warburgpincus.com/content/uploads/2019/07/Warburg-Pincus-ESG-Brochure.pdf
exponent;https://www.exponentpe.com/sites/default/files/2020-01/Exponent%20ESG%20Report%202018.pdf
silverfleet capital;https://www.silverfleetcapital.com/media-centre/silverfleet-esg-report-2020.pdf
kkr;https://www.kkr.com/_files/pdf/KKR_2018_ESG_Impact_and_Citizenship_Report.pdf
cerberus;https://www.cerberus.com/media/2019/07/Cerberus-2018-ESG-Report_FINAL_WEB.pdf
standard chartered;https://av.sc.com/corp-en/others/2018-sustainability-summary2.pdf
total;https://www.total.com/sites/g/files/nytnzq111/files/atoms/files/2019_total_universal_registration_document.pdf
apple;https://www.apple.com/environment/pdf/Apple_Environmental_Responsibility_Report_2019.pdf
nvidia;https://www.nvidia.com/content/dam/en-zz/Solutions/documents/FY2020-NVIDIA-CSR-Social-Responsibility.pdf
intel;http://csrreportbuilder.intel.com/pdfbuilder/pdfs/CSR-2019-20-Full-Report.pdf
baba;https://esg.alibabagroup.com/ui/pdfs/Alibaba-ESG-Report-2018.pdf
mastercard2019;https://www.mastercard.us/content/dam/mccom/global/aboutus/Sustainability/mastercard-sustainability-report-2019.pdf
mastercard2018;https://www.mastercard.us/content/dam/mccom/global/aboutus/Sustainability/mastercard-sustainability-report-2018.pdf
JohnsonJohnson;https://healthforhumanityreport.jnj.com/_document/2019-heath-for-humanity-report-johnson-johnson?id=00000172-a8f8-dff3-a9fa-acfda52c0000
ford;https://corporate.ford.com/microsites/sustainability-report-2020/assets/files/sr20.pdf
